0,1,2,3
Imperial Restaurant,Boneless Pepper Chicken,₹220,
Imperial Restaurant,Mutton Pepper Dry,₹255,
Imperial Restaurant,Mutton Onion Dry,₹260,
Imperial Restaurant,Mutton Chilli Fry,₹260,
Imperial Restaurant,Mutton Tomato Fry,₹260,
Imperial Restaurant,Brain Pepper Dry,₹245,
Imperial Restaurant,Brain Onion Dry,₹255,[Chef's Special]
Imperial Restaurant,Brain Chilli Fry,₹250,
Imperial Restaurant,Imperial Special Tandoori Chicken,₹195,
Imperial Restaurant,Chicken Tikka,₹225,
Imperial Restaurant,Kalmi Kabab,₹145,
Imperial Restaurant,Sholay Kabab,₹255,
Imperial Restaurant,Reshmi Kabab,₹225,
Imperial Restaurant,Hariyali Kabab,₹225,
Imperial Restaurant,Malai Kabab,₹225,
Imperial Restaurant,Tangdi Kabab [1 Piece],₹155,
Imperial Restaurant,Tikka Platter,₹280,
Imperial Restaurant,Tandoori Platter,₹490,
Imperial Restaurant,Kadai Paneer,₹160,
Imperial Restaurant,Paneer Butter Masala,₹155,
Imperial Restaurant,Paneer Matar Masala,₹155,
Imperial Restaurant,Paneer Shahi Korma,₹165,
Imperial Restaurant,Paneer Mushroom,₹160,
Imperial Restaurant,Palak Paneer,₹155,
Imperial Restaurant,Plain Palak,₹135,
Imperial Restaurant,Veg Kadai,₹165,
Imperial Restaurant,Veg Hyderabadi,₹165,
Imperial Restaurant,Aloo Sagu,₹140,
Imperial Restaurant,Aloo Matar,₹140,
Imperial Restaurant,Aloo Gobi,₹140,
Imperial Restaurant,Green Peas Masala,₹135,
Imperial Restaurant,Vegetable Kofta Curry,₹170,
Imperial Restaurant,Mix Veg Curry,₹170,
Imperial Restaurant,Navratan Korma,₹175,
Imperial Restaurant,Veg Kolhapuri,₹160,
Imperial Restaurant,Veg Peshawari,₹160,
Imperial Restaurant,Veg Do Pyaza,₹160,
Imperial Restaurant,Malai Kofta,₹160,
Imperial Restaurant,Vegetable Chatpat,₹160,
Imperial Restaurant,Stuffed Capsicum,₹160,
Imperial Restaurant,Dum ki Gobi,₹160,
Imperial Restaurant,Subz Handi,₹160,
Imperial Restaurant,Dum Aloo Kashmiri,₹155,
Imperial Restaurant,Dal Fry,₹90,
Imperial Restaurant,Dal Tadka,₹105,
Imperial Restaurant,Dal Palak,₹130,
Imperial Restaurant,Aloo Jeera,₹155,
Imperial Restaurant,Paneer Bhurji,₹185,
Imperial Restaurant,Gobi Manchurian Masala,₹155,Kerala.
Imperial Restaurant,Paneer Manchurian Masala,₹160,
Imperial Restaurant,Mushroom Manchurian Masala,₹160,
Imperial Restaurant,Baby Corn Manchurian Masala,₹160,
Imperial Restaurant,Egg Bhurji,₹95,
Imperial Restaurant,Egg Masala,₹105,
Imperial Restaurant,Golden Chicken Curry,₹210,
Imperial Restaurant,Chicken Varuval,₹210,
Imperial Restaurant,Chicken Methi,₹210,
Imperial Restaurant,Chicken Masala,₹210,
Imperial Restaurant,Kadai Chicken,₹210,
Imperial Restaurant,Ginger Chicken,₹210,
Imperial Restaurant,Butter Chicken Masala,₹205,
Imperial Restaurant,Chicken Tikka Masala,₹210,
Imperial Restaurant,Garlic Chicken Curry,₹210,
Imperial Restaurant,Pepper Chicken Masala,₹210,
Imperial Restaurant,Chicken Manchurian Masala,₹210,
Imperial Restaurant,Chilli Chicken Masala,₹210,
Imperial Restaurant,Mutton Pepper Masala,₹265,
Imperial Restaurant,Mutton Methi,₹265,
Imperial Restaurant,Mutton Varaval,₹265,
Imperial Restaurant,Tandoori Chicken Masala,₹215,[11:00AM-04:30PM and 7:00PM-12:00AM]
Imperial Restaurant,Chicken Kolhapuri,₹210,
Imperial Restaurant,Chicken Hyderabadi,₹210,
Imperial Restaurant,Chicken Chettinad,₹210,
Imperial Restaurant,Chicken Saagwala,₹210,
Imperial Restaurant,Chicken Chatpata,₹210,
Imperial Restaurant,Chicken Do Pyaza,₹240,
Imperial Restaurant,Chicken Mughlai,₹240,
Imperial Restaurant,Chicken Shahi Korma,₹240,
Imperial Restaurant,Chicken Peshawari,₹240,
Imperial Restaurant,Dum ka Murgh,₹215,
Imperial Restaurant,Murgh Bharta,₹215,
Imperial Restaurant,Murgh Patiala,₹215,
Imperial Restaurant,Murgh Nawabi,₹215,
Imperial Restaurant,Murgh Hara Pyaz,₹215,
Imperial Restaurant,Murgh Afghani,₹215,
Imperial Restaurant,Mutton Chettinad,₹275,
Imperial Restaurant,Mutton Rogan Josh,₹275,
Imperial Restaurant,Mutton Mughlai,₹285,
Imperial Restaurant,Mutton Hyderabadi,₹275,
Imperial Restaurant,Mutton Do Pyaza,₹275,
Imperial Restaurant,Mutton Saagwala,₹275,
Imperial Restaurant,Dum ka Gosht,₹275,
Imperial Restaurant,Butter Prawns,₹245,
Imperial Restaurant,Kadhai Prawns,₹245,
Imperial Restaurant,Prawns Chettinadu,₹245,
Imperial Restaurant,Prawns Masala,₹245,
Imperial Restaurant,Golden Fried Prawns,₹270,
Imperial Restaurant,Prawns Chilly,₹270,
Imperial Restaurant,Prawns Manchurian,₹270,
Imperial Restaurant,Prawns Pepper Dry,₹270,
Imperial Restaurant,Imperial Kerala Paratha,₹35,
Imperial Restaurant,Ceylon Paratha,₹35,
Imperial Restaurant,Ghee Paratha,₹40,
Imperial Restaurant,Wheat Paratha,₹38,
Imperial Restaurant,Coin Paratha,₹20,
Imperial Restaurant,Tandoori Roti,₹33,[11:00AM-04:30PM and 7:00PM-12:00AM]
Imperial Restaurant,Butter Tandoori Roti,₹38,[11:00AM-04:30PM and 7:00PM-12:00AM]
Imperial Restaurant,Tandoori Paratha,₹45,[11:00AM-04:30PM and 7:00PM-12:00AM]
Imperial Restaurant,Naan,₹40,
Imperial Restaurant,Butter Naan,₹45,
Imperial Restaurant,Rumali Roti,₹38,
Imperial Restaurant,Kulcha,₹40,
Imperial Restaurant,Methi Kulcha,₹45,
Imperial Restaurant,Methi Roti,₹45,
Imperial Restaurant,Garlic Naan,₹55,
Imperial Restaurant,Aloo Paratha,₹85,
Imperial Restaurant,Egg Naan,₹85,
Imperial Restaurant,Plain Egg Paratha,₹85,
Imperial Restaurant,Imperial Egg Mix Paratha,₹165,"Mutton, chicken, egg."
Imperial Restaurant,Vegetable Biryani,₹150,
Imperial Restaurant,Vegetable Fried Rice,₹155,
Imperial Restaurant,Mushroom Fried Rice,₹165,
Imperial Restaurant,Egg Fried Rice,₹155,
Imperial Restaurant,Chicken Fried Rice,₹160,
Imperial Restaurant,Mutton Fried Rice,₹170,
Imperial Restaurant,Prawns Fried Rice,₹170,
Imperial Restaurant,Mixed Fried Rice,₹170,
Imperial Restaurant,Vegetable Noodles,₹155,
Imperial Restaurant,Mushroom Noodles,₹155,
Imperial Restaurant,Egg Noodles,₹155,
Imperial Restaurant,Chicken Noodles,₹165,
Imperial Restaurant,Chicken Hakka Noodles,₹170,
Imperial Restaurant,Mutton Noodles,₹175,
Imperial Restaurant,Prawns Noodles,₹175,
Imperial Restaurant,Mixed Noodles,₹185,
